run_id,candidate_id,case_id,replay,command
far_cabinet_candidate_0005,candidate_0005,far_cabinet,datasets/far_cabinet,.\x64\Release\D455.exe --cluster-map --quality-segmentation --color-segmentation --color-refine-depth-masks --stereo-contour-distance --depth-slice-mm=300 --min-area-px=1200 --pcl-cluster-tolerance-mm=50 --track-smooth-percent=75 --min-depth-mm=250 --max-frames=600 --cluster-map-export=analysis_runs\far_cabinet_candidate_0005\cluster_map --final-segmentation-export=analysis_runs\far_cabinet_candidate_0005\final_segmentation
depth_hole_black_object_candidate_0005,candidate_0005,depth_hole_black_object,datasets/depth_hole_black_object,.\x64\Release\D455.exe --cluster-map --quality-segmentation --color-segmentation --color-refine-depth-masks --stereo-contour-distance --depth-slice-mm=300 --min-area-px=1200 --pcl-cluster-tolerance-mm=50 --track-smooth-percent=75 --min-depth-mm=250 --max-frames=600 --cluster-map-export=analysis_runs\depth_hole_black_object_candidate_0005\cluster_map --final-segmentation-export=analysis_runs\depth_hole_black_object_candidate_0005\final_segmentation
wall_table_background_candidate_0005,candidate_0005,wall_table_background,datasets/wall_table_background,.\x64\Release\D455.exe --cluster-map --quality-segmentation --color-segmentation --color-refine-depth-masks --stereo-contour-distance --depth-slice-mm=300 --min-area-px=1200 --pcl-cluster-tolerance-mm=50 --track-smooth-percent=75 --min-depth-mm=250 --max-frames=600 --cluster-map-export=analysis_runs\wall_table_background_candidate_0005\cluster_map --final-segmentation-export=analysis_runs\wall_table_background_candidate_0005\final_segmentation
near_single_object_candidate_0006,candidate_0006,near_single_object,datasets/near_single_object,.\x64\Release\D455.exe --cluster-map --quality-segmentation --color-segmentation --color-refine-depth-masks --stereo-contour-distance --track-miss-frames=3 --infrared-canny-low=35 --max-depth-mm=3500 --depth-slice-mm=300 --pcl-cluster-tolerance-mm=50 --max-frames=600 --cluster-map-export=analysis_runs\near_single_object_candidate_0006\cluster_map --final-segmentation-export=analysis_runs\near_single_object_candidate_0006\final_segmentation
near_adjacent_objects_candidate_0006,candidate_0006,near_adjacent_objects,datasets/near_adjacent_objects,.\x64\Release\D455.exe --cluster-map --quality-segmentation --color-segmentation --color-refine-depth-masks --stereo-contour-distance --track-miss-frames=3 --infrared-canny-low=35 --max-depth-mm=3500 --depth-slice-mm=300 --pcl-cluster-tolerance-mm=50 --max-frames=600 --cluster-map-export=analysis_runs\near_adjacent_objects_candidate_0006\cluster_map --final-segmentation-export=analysis_runs\near_adjacent_objects_candidate_0006\final_segmentation
far_cabinet_candidate_0006,candidate_0006,far_cabinet,datasets/far_cabinet,.\x64\Release\D455.exe --cluster-map --quality-segmentation --color-segmentation --color-refine-depth-masks --stereo-contour-distance --track-miss-frames=3 --infrared-canny-low=35 --max-depth-mm=3500 --depth-slice-mm=300 --pcl-cluster-tolerance-mm=50 --max-frames=600 --cluster-map-export=analysis_runs\far_cabinet_candidate_0006\cluster_map --final-segmentation-export=analysis_runs\far_cabinet_candidate_0006\final_segmentation
depth_hole_black_object_candidate_0006,candidate_0006,depth_hole_black_object,datasets/depth_hole_black_object,.\x64\Release\D455.exe --cluster-map --quality-segmentation --color-segmentation --color-refine-depth-masks --stereo-contour-distance --track-miss-frames=3 --infrared-canny-low=35 --max-depth-mm=3500 --depth-slice-mm=300 --pcl-cluster-tolerance-mm=50 --max-frames=600 --cluster-map-export=analysis_runs\depth_hole_black_object_candidate_0006\cluster_map --final-segmentation-export=analysis_runs\depth_hole_black_object_candidate_0006\final_segmentation
wall_table_background_candidate_0006,candidate_0006,wall_table_background,datasets/wall_table_background,.\x64\Release\D455.exe --cluster-map --quality-segmentation --color-segmentation --color-refine-depth-masks --stereo-contour-distance --track-miss-frames=3 --infrared-canny-low=35 --max-depth-mm=3500 --depth-slice-mm=300 --pcl-cluster-tolerance-mm=50 --max-frames=600 --cluster-map-export=analysis_runs\wall_table_background_candidate_0006\cluster_map --final-segmentation-export=analysis_runs\wall_table_background_candidate_0006\final_segmentation
near_single_object_candidate_0007,candidate_0007,near_single_object,datasets/near_single_object,.\x64\Release\D455.exe --cluster-map --quality-segmentation --color-segmentation --color-refine-depth-masks --stereo-contour-distance --infrared-canny-high=110 --pcl-cluster-tolerance-mm=50 --min-area-px=900 --split-boundary-px=5 --pcl-sample-step-px=4 --max-frames=600 --cluster-map-export=analysis_runs\near_single_object_candidate_0007\cluster_map --final-segmentation-export=analysis_runs\near_single_object_candidate_0007\final_segmentation
near_adjacent_objects_candidate_0007,candidate_0007,near_adjacent_objects,datasets/near_adjacent_objects,.\x64\Release\D455.exe --cluster-map --quality-segmentation --color-segmentation --color-refine-depth-masks --stereo-contour-distance --infrared-canny-high=110 --pcl-cluster-tolerance-mm=50 --min-area-px=900 --split-boundary-px=5 --pcl-sample-step-px=4 --max-frames=600 --cluster-map-export=analysis_runs\near_adjacent_objects_candidate_0007\cluster_map --final-segmentation-export=analysis_runs\near_adjacent_objects_candidate_0007\final_segmentation
