contour_id,persistence_bucket,long_run_count,run_count,bbox_width_p50,bbox_height_p50,bbox_area_percent_p50,foreground_area_percent_p50,mean_depth_mm_p50,center_radius_percent_p50,base_side,side,track_count,contour_count,frame_count,pair_count,binary_iou_min,binary_iou_p05,binary_iou_p50,binary_iou_p95,binary_iou_max,binary_iou_gt99_percent,occupancy_similarity_p05,occupancy_similarity_p50,occupancy_similarity_p95,binary_exact_adjacent_pair_count,binary_exact_adjacent_pair_percent,identity_scoped_binary_unique_value_count,identity_scoped_binary_repeated_frame_count,identity_scoped_binary_max_repeat_frequency,shape_only_binary_unique_value_count,identity_scoped_occupancy_unique_value_count,identity_scoped_occupancy_repeated_frame_count
44,medium_short,0,1,132.0,60.0,2.578125,0.844076,361.0,57.838136,256,128,1,1,9,8,43.4584755403868,45.576199844589425,100.0,100.0,100.0,75.0,97.3309326171875,100.0,100.0,6,75.0,3,6,6,3,3,6
44,medium_short,0,1,132.0,60.0,2.578125,0.844076,361.0,57.838136,256,64,1,1,9,8,43.80952380952381,46.07734654555464,100.0,100.0,100.0,75.0,97.43972778320312,100.0,100.0,6,75.0,3,6,6,3,3,6
44,medium_short,0,1,132.0,60.0,2.578125,0.844076,361.0,57.838136,256,32,1,1,9,8,49.056603773584904,52.88679245283019,100.0,100.0,100.0,75.0,97.84866333007812,100.0,100.0,6,75.0,3,6,6,3,3,6
44,medium_short,0,1,132.0,60.0,2.578125,0.844076,361.0,57.838136,256,16,1,1,9,8,45.45454545454545,52.878787878787875,100.0,100.0,100.0,75.0,98.29940795898438,100.0,100.0,6,75.0,3,6,6,3,3,6
44,medium_short,0,1,132.0,60.0,2.578125,0.844076,361.0,57.838136,256,8,1,1,9,8,100.0,100.0,100.0,100.0,100.0,100.0,98.8232421875,100.0,100.0,8,100.0,1,8,9,1,3,6
45,medium_short,0,2,63.5,74.0,1.3603515,0.9155274999999999,2171.0,67.98700500000001,128,128,2,1,12,10,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,10,100.0,2,10,6,2,2,10
45,medium_short,0,2,63.5,74.0,1.3603515,0.9155274999999999,2171.0,67.98700500000001,128,64,2,1,12,10,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,10,100.0,2,10,6,2,2,10
45,medium_short,0,2,63.5,74.0,1.3603515,0.9155274999999999,2171.0,67.98700500000001,128,32,2,1,12,10,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,10,100.0,2,10,6,2,2,10
45,medium_short,0,2,63.5,74.0,1.3603515,0.9155274999999999,2171.0,67.98700500000001,128,16,2,1,12,10,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,10,100.0,2,10,6,2,2,10
45,medium_short,0,2,63.5,74.0,1.3603515,0.9155274999999999,2171.0,67.98700500000001,128,8,2,1,12,10,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,10,100.0,2,10,6,2,2,10
50,medium_short,0,2,130.0,75.0,2.0940754999999998,0.970215,453.0,65.4079745,256,256,2,1,372,370,3.4200113058224986,17.486282296125882,45.81071360920815,100.0,100.0,21.62162162162162,91.76078796386719,95.86639404296875,100.0,80,21.62162162162162,292,80,6,292,292,80
50,medium_short,0,2,130.0,75.0,2.0940754999999998,0.970215,453.0,65.4079745,256,128,2,1,372,370,3.837953091684435,18.431707519504236,47.346120079988296,100.0,100.0,21.62162162162162,91.78993225097656,95.90301513671875,100.0,80,21.62162162162162,292,80,6,292,292,80
50,medium_short,0,2,130.0,75.0,2.0940754999999998,0.970215,453.0,65.4079745,256,64,2,1,372,370,3.1914893617021276,17.54591836734694,47.08313077297035,100.0,100.0,21.62162162162162,91.88072204589844,96.06246948242188,100.0,80,21.62162162162162,292,80,6,292,292,80
50,medium_short,0,2,130.0,75.0,2.0940754999999998,0.970215,453.0,65.4079745,256,32,2,1,372,370,4.166666666666667,15.173076923076923,46.651785714285715,100.0,100.0,21.62162162162162,92.1380615234375,96.40274047851562,100.0,80,21.62162162162162,292,80,6,292,292,80
50,medium_short,0,2,130.0,75.0,2.0940754999999998,0.970215,453.0,65.4079745,256,16,2,1,372,370,0.0,12.5,55.76086956521739,100.0,100.0,21.62162162162162,92.750244140625,97.027587890625,100.0,80,21.62162162162162,247,125,14,247,292,80
50,medium_short,0,2,130.0,75.0,2.0940754999999998,0.970215,453.0,65.4079745,256,8,2,1,372,370,0.0,0.0,66.66666666666667,100.0,100.0,38.91891891891892,94.24491882324219,97.92709350585938,100.0,144,38.91891891891892,27,345,112,27,292,80
53,medium_short,0,1,56.0,97.0,1.554362,0.559245,3457.0,68.90495949999999,128,128,1,1,20,19,27.386609071274297,34.81579845359583,100.0,100.0,100.0,73.6842105263158,91.365966796875,100.0,100.0,14,73.6842105263158,6,14,6,6,6,14
53,medium_short,0,1,56.0,97.0,1.554362,0.559245,3457.0,68.90495949999999,128,64,1,1,20,19,28.45394736842105,36.737286628734,100.0,100.0,100.0,73.6842105263158,91.424560546875,100.0,100.0,14,73.6842105263158,6,14,6,6,6,14
53,medium_short,0,1,56.0,97.0,1.554362,0.559245,3457.0,68.90495949999999,128,32,1,1,20,19,31.46853146853147,38.743868072226284,100.0,100.0,100.0,73.6842105263158,91.607666015625,100.0,100.0,14,73.6842105263158,6,14,6,6,6,14
53,medium_short,0,1,56.0,97.0,1.554362,0.559245,3457.0,68.90495949999999,128,16,1,1,20,19,18.91891891891892,29.164619164619165,100.0,100.0,100.0,73.6842105263158,91.89208984375,100.0,100.0,14,73.6842105263158,6,14,6,6,6,14
53,medium_short,0,1,56.0,97.0,1.554362,0.559245,3457.0,68.90495949999999,128,8,1,1,20,19,25.0,29.5,100.0,100.0,100.0,73.6842105263158,92.98828125,100.0,100.0,14,73.6842105263158,6,14,6,6,6,14
