scope,label,run_a,run_b,contour_id_a,contour_id_b,count,min,p01,p05,p50,p95,p99,max
within_all:binary_contour_static_long_repeat_001,different_id,binary_contour_static_long_repeat_001,binary_contour_static_long_repeat_001,5,22,145,7.0588235294117645,7.317073170731707,8.45430502497796,14.606741573033707,19.947368421052627,21.702544031311156,22.058823529411764
within_all:binary_contour_static_long_repeat_001,different_id,binary_contour_static_long_repeat_001,binary_contour_static_long_repeat_001,5,26,33,9.62962962962963,10.31285403050109,11.97860962566845,37.755102040816325,54.63227783452502,56.11703239289446,56.32183908045977
within_all:binary_contour_static_long_repeat_001,different_id,binary_contour_static_long_repeat_001,binary_contour_static_long_repeat_001,5,27,7,22.78481012658228,22.89464459591042,23.33398247322298,26.153846153846157,26.8006993006993,26.8986013986014,26.923076923076923
within_all:binary_contour_static_long_repeat_001,different_id,binary_contour_static_long_repeat_001,binary_contour_static_long_repeat_001,5,28,19,10.0,10.53587786259542,12.679389312977099,32.38095238095238,41.63616251005628,54.69086886564764,57.95454545454546
within_all:binary_contour_static_long_repeat_001,different_id,binary_contour_static_long_repeat_001,binary_contour_static_long_repeat_001,5,30,14,23.66412213740458,23.784507571017393,24.266049305468652,28.08743169398907,44.95652173913044,45.86086956521739,46.08695652173913
within_all:binary_contour_static_long_repeat_001,different_id,binary_contour_static_long_repeat_001,binary_contour_static_long_repeat_001,5,33,7,5.714285714285714,6.042757242757243,7.356643356643357,12.142857142857142,14.187480727721246,14.431699044094973,14.492753623188406
within_all:binary_contour_static_long_repeat_001,different_id,binary_contour_static_long_repeat_001,binary_contour_static_long_repeat_001,5,37,16,31.25,31.654243119266056,33.27121559633028,37.614571092831966,42.103781174577634,43.329847144006436,43.63636363636363
within_all:binary_contour_static_long_repeat_001,different_id,binary_contour_static_long_repeat_001,binary_contour_static_long_repeat_001,5,38,375,3.508771929824561,4.678052325581396,6.666666666666667,13.793103448275861,18.627651418349096,20.224719101123593,22.58064516129032
within_all:binary_contour_static_long_repeat_001,different_id,binary_contour_static_long_repeat_001,binary_contour_static_long_repeat_001,5,40,6,18.181818181818183,18.188220230473753,18.213828425096033,19.014084507042256,20.886256600542318,21.047999619428193,21.08843537414966
within_all:binary_contour_static_long_repeat_001,different_id,binary_contour_static_long_repeat_001,binary_contour_static_long_repeat_001,5,42,9,33.94495412844037,34.018348623853214,34.31192660550459,38.18181818181819,41.865821094793056,42.765687583444596,42.99065420560748
within_all:binary_contour_static_long_repeat_001,different_id,binary_contour_static_long_repeat_001,binary_contour_static_long_repeat_001,5,43,6,25.438596491228072,25.588685015290523,26.18903911154032,28.63459790065295,29.9791492910759,30.216013344453714,30.275229357798167
within_all:binary_contour_static_long_repeat_001,different_id,binary_contour_static_long_repeat_001,binary_contour_static_long_repeat_001,5,45,6,33.33333333333333,33.33333333333333,33.33333333333333,35.883699633699635,36.80451829723674,36.87546676624347,36.89320388349515
within_all:binary_contour_static_long_repeat_001,different_id,binary_contour_static_long_repeat_001,binary_contour_static_long_repeat_001,5,50,92,3.4482758620689653,8.691923774954628,11.336245320021394,28.57142857142857,38.46153846153847,41.09195696721312,42.1875
within_all:binary_contour_static_long_repeat_001,different_id,binary_contour_static_long_repeat_001,binary_contour_static_long_repeat_001,5,59,183,3.8461538461538463,8.095471236230111,9.352391423859263,14.606741573033707,19.537426408746846,21.38522522522523,23.61111111111111
within_all:binary_contour_static_long_repeat_001,different_id,binary_contour_static_long_repeat_001,binary_contour_static_long_repeat_001,5,60,14,23.008849557522122,23.267699115044245,24.30309734513274,28.815628815628816,45.596330275229356,46.55045871559633,46.788990825688074
within_all:binary_contour_static_long_repeat_001,different_id,binary_contour_static_long_repeat_001,binary_contour_static_long_repeat_001,5,66,12,15.068493150684931,15.352135374697824,16.486704270749396,19.971570717839374,33.23798076923077,34.14759615384615,34.375
within_all:binary_contour_static_long_repeat_001,different_id,binary_contour_static_long_repeat_001,binary_contour_static_long_repeat_001,5,71,27,1.948051948051948,1.951362363127069,2.132042690493919,23.88059701492537,43.64485981308411,47.252139695031964,48.421052631578945
within_all:binary_contour_static_long_repeat_001,different_id,binary_contour_static_long_repeat_001,binary_contour_static_long_repeat_001,5,77,17,8.391608391608392,8.593778635157946,9.40245960935616,39.285714285714285,54.54545454545454,54.54545454545454,54.54545454545454
within_all:binary_contour_static_long_repeat_001,different_id,binary_contour_static_long_repeat_001,binary_contour_static_long_repeat_001,5,82,20,16.216216216216218,16.518696778970753,17.72861902998889,25.186567164179102,35.98677884615385,36.73581730769231,36.92307692307693
within_all:binary_contour_static_long_repeat_001,different_id,binary_contour_static_long_repeat_001,binary_contour_static_long_repeat_001,6,7,570,5.208333333333334,6.315789473684211,7.368421052631578,10.1010101010101,15.841584158415841,54.70377936670069,62.5
within_all:binary_contour_static_long_repeat_001,different_id,binary_contour_static_long_repeat_001,binary_contour_static_long_repeat_001,6,9,570,21.09375,21.896341463414636,23.015873015873016,24.8,26.984126984126984,28.13842975206611,29.508196721311474
within_all:binary_contour_static_long_repeat_001,different_id,binary_contour_static_long_repeat_001,binary_contour_static_long_repeat_001,6,10,570,17.647058823529413,18.333333333333332,18.96551724137931,20.51282051282051,23.819559022048892,28.817563555891397,30.21978021978022
within_all:binary_contour_static_long_repeat_001,different_id,binary_contour_static_long_repeat_001,binary_contour_static_long_repeat_001,6,12,384,13.600000000000001,15.339613970588236,16.811573866187697,25.0,31.91742370113299,34.56780538302278,36.904761904761905
within_all:binary_contour_static_long_repeat_001,different_id,binary_contour_static_long_repeat_001,binary_contour_static_long_repeat_001,6,16,14,3.684210526315789,3.8894736842105258,4.7105263157894735,9.963358674063421,16.719414265470004,17.136986301369863,17.24137931034483
within_all:binary_contour_static_long_repeat_001,different_id,binary_contour_static_long_repeat_001,binary_contour_static_long_repeat_001,6,18,38,16.853932584269664,17.123472033584395,17.582417582417584,25.13157894736842,32.330065359477125,33.188235294117646,33.33333333333333
within_all:binary_contour_static_long_repeat_001,different_id,binary_contour_static_long_repeat_001,binary_contour_static_long_repeat_001,6,21,31,3.1413612565445024,3.15639968809179,3.562036815682524,7.59493670886076,17.855957517424493,18.654077942948973,18.796992481203006
within_all:binary_contour_static_long_repeat_001,different_id,binary_contour_static_long_repeat_001,binary_contour_static_long_repeat_001,6,22,145,14.457831325301203,15.109656301145662,17.722222222222225,23.91304347826087,31.914893617021278,33.177304964539005,33.734939759036145
within_all:binary_contour_static_long_repeat_001,different_id,binary_contour_static_long_repeat_001,binary_contour_static_long_repeat_001,6,26,33,6.134969325153374,6.305112474437628,6.691056910569106,12.903225806451612,21.381578947368418,21.992125984251967,22.04724409448819
within_all:binary_contour_static_long_repeat_001,different_id,binary_contour_static_long_repeat_001,binary_contour_static_long_repeat_001,6,27,7,37.34177215189873,37.474400151143016,38.004912148120155,40.74074074074074,43.51712614870509,44.25898078529657,44.44444444444444
within_all:binary_contour_static_long_repeat_001,different_id,binary_contour_static_long_repeat_001,binary_contour_static_long_repeat_001,6,28,19,3.75,3.8674528301886792,4.337264150943396,12.408759124087592,17.57409257409257,17.873792873792873,17.94871794871795
within_all:binary_contour_static_long_repeat_001,different_id,binary_contour_static_long_repeat_001,binary_contour_static_long_repeat_001,6,30,14,5.263157894736842,5.2671826625386995,5.283281733746129,9.786024240610505,16.88091216216216,16.889695945945945,16.89189189189189
within_all:binary_contour_static_long_repeat_001,different_id,binary_contour_static_long_repeat_001,binary_contour_static_long_repeat_001,6,33,7,4.142011834319527,4.1709477716592,4.286691521017889,4.678362573099415,6.429149797570848,7.029419703103912,7.179487179487179
